"","ORF","WT","swr1","Ratios"
"4828","YFL027C",3.7125291802405,6.81502145981245,-0.876315834490057
"4027","YGR021W",1.70339574152211,3.12628326207093,-0.876034853859918
"3409","YDL050C",0.666071411749031,1.22152789710056,-0.874938045196042
"4341","YDR480W",0.996377316755722,1.8253905580966,-0.873441091022577
"5747","YDR086C",10.2094552456614,18.6955879844374,-0.872791956102946
"265","YER127W",5.74350102590148,10.5072103013311,-0.871377356177323
"5771","YGR081C",3.7125291802405,6.78741630959549,-0.87046013881676
"2810","YML053C",1.64061032156216,2.99860944231748,-0.870061018779146
"688","YBR264C",2.06918905781051,3.78190557972377,-0.870047877465366
"1197","YDL173W",1.45771366341796,2.66389699593682,-0.869830938256458
"4962","YMR245W",1.47682226949273,2.69840343370802,-0.869609846156468
"3108","YCR006C",0.423119134512704,0.772944206074931,-0.869300349459298
"3769","YGL127C",0.570528381375194,1.04209442069031,-0.869115439920127
"5831","YGR241C",3.14746040060095,5.7487725326823,-0.869065720389707
"934","YER016W",3.51052391602153,6.41129613788938,-0.868929691730637
"5080","YDR222W",2.2957625298399,4.19253218920108,-0.86884844091393
